Link,Title,Company,Group,Category
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec73131b36,基于超高速3D打印技术的高性能材料博物馆文创产品创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec73031b35,基于超高速3D打印技术的高性能材料益智玩具创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72f61b34,基于超高速3D打印技术的高性能材料床垫创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72ec1b33,基于超高速3D打印技术的高性能材料智能宠物玩具创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72db1b32,基于超高速3D打印技术的高性能材料办公椅靠垫创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72cc1b31,基于超高速3D打印技术的高性能材料沙发坐垫创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72c41b30,基于超高速3D打印技术的高性能材料汽车座椅创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72b61b2f,基于超高速3D打印技术的高性能材料工程车坐垫创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72a21b2e,基于超高速3D打印技术的高性能材料3C行业工装夹具创新设计与产业化,安徽光理智能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72931b2d,水泥工业替代燃料制备与燃烧技术研究与工程示范,安徽海螺生物质能科技有限公司,产教协同创新组,新工科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec72821b2c,多靶点协同递送系统开发与肝纤维化精准治疗,安徽华创纳川生物科技有限公司,产教协同创新组,新医科
https://cy.ncss.cn/mtcontest/detail?id=2c93f4c69714f373019719ec726e1b2b,面向水面大口径舰炮的耐海洋环境柔性吸波炮衣制造,安徽华茂集团有限公司,产教协同创新组,新工科
